2018-12-17 18:04:21 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.121.137.177', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 1.0, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:21 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '115.223.237.73', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.5, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:21 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '113.116.178.58', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.58, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:22 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.180.179.60', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.57, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:22 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.180.157.71', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.86, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:22 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.179.136.208', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.86, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:22 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '124.89.97.43', 'port': '80', 'protocol': 0, 'nick_type': -1, 'speed': 0.59, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:22 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.180.131.202', 'port': '8060', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '124.89.97.44', 'port': '80', 'protocol': 0, 'nick_type': -1, 'speed': 0.61, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '175.10.144.202', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 2.71, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.180.168.230', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.83, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '182.134.128.233', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '183.185.197.225', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.6, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:23 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '222.212.88.111', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:24 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.179.60.117', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.62, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:24 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '35.224.248.29', 'port': '3128', 'protocol': 2, 'nick_type': 0, 'speed': 0.49, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:25 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '125.105.62.17', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.54, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:26 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.119.116.92', 'port': '61066', 'protocol': 2, 'nick_type': 0, 'speed': 8.43, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:26 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '49.4.93.129', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.61, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:26 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '193.187.119.58', 'port': '1080', 'protocol': 0, 'nick_type': -1, 'speed': 0.49, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:26 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.234.116.59', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 1.72, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:28 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '117.68.194.141', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.11, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:28 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '118.89.244.146', 'port': '1080', 'protocol': 0, 'nick_type': -1, 'speed': 0.53, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:28 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '113.116.176.150', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.59, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:28 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '60.182.76.14', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.82, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:29 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.180.169.113', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.81, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:29 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '101.200.48.151', 'port': '8118', 'protocol': 2, 'nick_type': 0, 'speed': 0.65, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:30 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '182.240.54.170', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:30 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.245.16.68', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.7, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:30 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '61.162.73.178', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.75, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:31 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '139.199.38.177', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.52, 'area': None, 'score': 50, 'disable_domains': []}
